rule_id,month,channel,hit,actual,threshold,reason
R37,2025-09,360,False,-0.69016691,> 0.05（5个百分点）,本月CAC率 1.441310 - 上月 2.131477
R36,2025-10,360,False,1.64607518,连续3个完整月上升,2.131477 -> 1.441310 -> 1.646075
R37,2025-10,360,True,0.20476553,> 0.05（5个百分点）,本月CAC率 1.646075 - 上月 1.441310
R37,2025-09,CX老师-SY-其他异业,False,0.00000000,> 0.05（5个百分点）,本月CAC率 0.000000 - 上月 0.000000
R37,2025-09,Facebook,True,21.17584347,> 0.05（5个百分点）,本月CAC率 24.829990 - 上月 3.654146
R37,2025-09,GDT,False,-0.12720968,> 0.05（5个百分点）,本月CAC率 1.589735 - 上月 1.716945
R36,2025-10,GDT,False,1.72526651,连续3个完整月上升,1.716945 -> 1.589735 -> 1.725267
R37,2025-10,GDT,True,0.13553122,> 0.05（5个百分点）,本月CAC率 1.725267 - 上月 1.589735
R37,2025-09,HW-聚力,False,-0.80218738,> 0.05（5个百分点）,本月CAC率 0.147665 - 上月 0.949852
R36,2025-10,HW-聚力,False,1.90195455,连续3个完整月上升,0.949852 -> 0.147665 -> 1.901955
R37,2025-10,HW-聚力,True,1.75428966,> 0.05（5个百分点）,本月CAC率 1.901955 - 上月 0.147665
R37,2025-09,LZF老师-SY-其他异业,False,-0.11819873,> 0.05（5个百分点）,本月CAC率 0.365874 - 上月 0.484072
R36,2025-10,LZF老师-SY-其他异业,False,0.67182983,连续3个完整月上升,0.484072 -> 0.365874 -> 0.671830
R37,2025-10,LZF老师-SY-其他异业,True,0.30595616,> 0.05（5个百分点）,本月CAC率 0.671830 - 上月 0.365874
R37,2025-09,NG快鸟-XCX-垂直应用,True,0.37632241,> 0.05（5个百分点）,本月CAC率 1.935462 - 上月 1.559140
R37,2025-09,PQ-P-垂直应用,True,0.12635783,> 0.05（5个百分点）,本月CAC率 1.230618 - 上月 1.104260
R36,2025-10,PQ-P-垂直应用,False,1.09286976,连续3个完整月上升,1.104260 -> 1.230618 -> 1.092870
R37,2025-10,PQ-P-垂直应用,False,-0.13774781,> 0.05（5个百分点）,本月CAC率 1.092870 - 上月 1.230618
R37,2025-09,PQ卡锐-P-垂直应用,True,0.69861870,> 0.05（5个百分点）,本月CAC率 2.078320 - 上月 1.379701
R36,2025-10,PQ卡锐-P-垂直应用,False,1.48972098,连续3个完整月上升,1.379701 -> 2.078320 -> 1.489721
R37,2025-10,PQ卡锐-P-垂直应用,False,-0.58859872,> 0.05（5个百分点）,本月CAC率 1.489721 - 上月 2.078320
R37,2025-09,PQ龙特星-P-垂直应用,True,0.28468823,> 0.05（5个百分点）,本月CAC率 1.315201 - 上月 1.030512
R36,2025-10,PQ龙特星-P-垂直应用,False,1.16259234,连续3个完整月上升,1.030512 -> 1.315201 -> 1.162592
R37,2025-10,PQ龙特星-P-垂直应用,False,-0.15260828,> 0.05（5个百分点）,本月CAC率 1.162592 - 上月 1.315201
R37,2025-09,PQ龙特星辰-P-垂直应用,False,-0.65115471,> 0.05（5个百分点）,本月CAC率 2.173845 - 上月 2.825000
R37,2025-09,WB-武汉优嘉,False,-2.99017559,> 0.05（5个百分点）,本月CAC率 1.361203 - 上月 4.351379
